year,Sector_Name,sector,value,Main.Sector
2021,"Minyak dan lemak daripada sayuran & haiwan, prosesan makanan, minuman dan produk tembakau",p3.1,39272,Manufacturing
2021,"Tekstil, pakaian dan produk kulit",p3.2,5837,Manufacturing
2021,"Produk kayu, perabot, keluaran kertas dan percetakan ",p3.3,16728,Manufacturing
2021,"Produk petroleum, kimia, getah dan plastik",p3.4,101787,Manufacturing
2021,"Produk mineral bukan logam, logam asas dan produk logam yang direka",p3.5,34101,Manufacturing
2021,"Produk elektrik, elektronik dan optikal",p3.6,104745,Manufacturing
2021,"Peralatan pengangkutan, pembuatan lain dan pembaikan",p3.7,34253,Manufacturing
2021,Construction,p4,50839,Construction
2021,Buildings,p4.1,22958,Construction
2021,Civil engineering,p4.2,14590,Construction
2021,Specialised construction activities,p4.3,13291,Construction
2021,Services,p5,795116,Services
2021,"Utilities, transportation & storage and information & communication",p5.1,176224,Services
2021,"Wholesale and retail trade, food & beverage and accommodation",p5.2,266308,Services
2021,"Finance and insurance, real estate and business services",p5.3,159192,Services
2021,Other services,p5.4,61910,Services
2021,Government services,p5.5,131482,Services
2021,Import duties,p6,15642,Import duties
2022,Agriculture,p1,100082,Agriculture
2022,Crops,p1.1,66678,Agriculture
2022,Livestock,p1.2,16579,Agriculture
2022,Forestry and logging,p1.3,5271,Agriculture
2022,Fishing,p1.4,11555,Agriculture
2022,Mining and quarrying,p2,97001,Mining and quarrying
2022,Crude oil and condensate,p2.1,36283,Mining and quarrying
2022,Natural gas ,p2.2,51748,Mining and quarrying
2022,Other mining & quarrying and supporting services,p2.3,8969,Mining and quarrying
2022,Manufacturing,p3,364124,Manufacturing
2022,"Minyak dan lemak daripada sayuran & haiwan, prosesan makanan, minuman dan produk tembakau",p3.1,41917,Manufacturing
2022,"Tekstil, pakaian dan produk kulit",p3.2,6171,Manufacturing
2022,"Produk kayu, perabot, keluaran kertas dan percetakan ",p3.3,17889,Manufacturing
2022,"Produk petroleum, kimia, getah dan plastik",p3.4,102892,Manufacturing
2022,"Produk mineral bukan logam, logam asas dan produk logam yang direka",p3.5,36689,Manufacturing
2022,"Produk elektrik, elektronik dan optikal",p3.6,119614,Manufacturing
2022,"Peralatan pengangkutan, pembuatan lain dan pembaikan",p3.7,38950,Manufacturing
2022,Construction,p4,53426,Construction
2022,Buildings,p4.1,24824,Construction
2022,Civil engineering,p4.2,14452,Construction
2022,Specialised construction activities,p4.3,14151,Construction
2022,Services,p5,882723,Services
2022,"Utilities, transportation & storage and information & communication",p5.1,194789,Services
2022,"Wholesale and retail trade, food & beverage and accommodation",p5.2,309740,Services
2022,"Finance and insurance, real estate and business services",p5.3,172189,Services
2022,Other services,p5.4,68570,Services
2022,Government services,p5.5,137435,Services
2022,Import duties,p6,16784,Import duties
2023,Agriculture,p1,100812,Agriculture
2023,Crops,p1.1,67704,Agriculture
2023,Livestock,p1.2,16701,Agriculture
2023,Forestry and logging,p1.3,4799,Agriculture
2023,Fishing,p1.4,11608,Agriculture
2023,Mining and quarrying,p2,97513,Mining and quarrying
2023,Crude oil and condensate,p2.1,36155,Mining and quarrying
2023,Natural gas ,p2.2,52063,Mining and quarrying
2023,Other mining & quarrying and supporting services,p2.3,9295,Mining and quarrying
2023,Manufacturing,p3,366694,Manufacturing
2023,"Minyak dan lemak daripada sayuran & haiwan, prosesan makanan, minuman dan produk tembakau",p3.1,44150,Manufacturing
2023,"Tekstil, pakaian dan produk kulit",p3.2,6244,Manufacturing
2023,"Produk kayu, perabot, keluaran kertas dan percetakan ",p3.3,18035,Manufacturing
2023,"Produk petroleum, kimia, getah dan plastik",p3.4,102067,Manufacturing
2023,"Produk mineral bukan logam, logam asas dan produk logam yang direka",p3.5,38585,Manufacturing
2023,"Produk elektrik, elektronik dan optikal",p3.6,117708,Manufacturing
2023,"Peralatan pengangkutan, pembuatan lain dan pembaikan",p3.7,39905,Manufacturing
2023,Construction,p4,56659,Construction
2023,Buildings,p4.1,25033,Construction
2023,Civil engineering,p4.2,16548,Construction
2023,Specialised construction activities,p4.3,15077,Construction
2023,Services,p5,927904,Services
2023,"Utilities, transportation & storage and information & communication",p5.1,207021,Services
2023,"Wholesale and retail trade, food & beverage and accommodation",p5.2,328677,Services
2023,"Finance and insurance, real estate and business services",p5.3,175453,Services
2023,Other services,p5.4,72886,Services
2023,Government services,p5.5,143868,Services
2023,Import duties,p6,18392,Import duties
