Entity,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Benin,BEN,1651120600.0,1702987000.0,1644635600.0,1722427400.0,1836981900.0,1934229100.0,2003394600.0,2024999200.0,2102806400.0,2163314700.0,2208695800.0,2175635000.0,2315449300.0,2401263600.0,2481449500.0,2359974000.0,2380844500.0,2499497700.0,2530868500.0,2696279600.0,2879135000.0,3165730600.0,3236486700.0,3095770000.0,3341259800.0,3592867300.0,3670873600.0,3615810300.0,3738937600.0,3632222200.0,3958255600.0,4125523500.0,4247544600.0,4495438300.0,4586264600.0,4863513000.0,5073825300.0,5364793300.0,5577293300.0,5875201500.0,6219354000.0,6551041000.0,6855208000.0,7091272000.0,7405393000.0,7532260000.0,7829312500.0,8298002400.0,8704321000.0,8906199000.0,9094482000.0,9364020000.0,9814543000.0,10520350000.0,11189200000.0,11388161000.0,11768488000.0,12435945000.0,13268813000.0,14179807000.0,14725558000.0,15779239000.0,16765953000.0
Bermuda,BMU,1684353400.0,1763181000.0,1841995300.0,1861704700.0,2068540000.0,2167002600.0,2478263000.0,2807253200.0,2866353400.0,2964853500.0,3152003600.0,3260353800.0,3319454000.0,3368704000.0,3398254000.0,3526304300.0,3841504500.0,4068054800.0,4127155000.0,4215805000.0,4550705000.0,4659055600.0,4412805000.0,4501455400.0,4523125000.0,4432505300.0,4728005600.0,4905305600.0,5104276000.0,5126931000.0,5127916000.0,4946675700.0,4943721000.0,5092456000.0,5122991000.0,5348359000.0,5487442000.0,5739864000.0,5963718700.0,6165450000.0,6739895300.0,7226680000.0,7119884300.0,7362723000.0,7533631500.0,7659759600.0,8084407000.0,8354841600.0,8198944000.0,7737614000.0,7543951000.0,7261600300.0,6876350500.0,6857116700.0,6603330000.0,6654541000.0,6610807000.0,6849551000.0,6819906000.0,6840793000.0,6373022700.0,6565094000.0,6757262000.0
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,163460580.0,188179570.0,194652530.0,214956750.0,224751600.0,233805800.0,260441400.0,336110900.0,352134560.0,378036060.0,417288000.0,415586000.0,434706620.0,443341500.0,465293570.0,498209000.0,525935170.0,554198100.0,586973500.0,633837300.0,655103000.0,709797250.0,787820160.0,849453700.0,900495200.0,966116540.0,1033742140.0,1223546100.0,1282269700.0,1368801500.0,1532317000.0,1654636200.0,1739327000.0,1776200300.0,1878802400.0,2003596800.0,2166430000.0,2267208400.0,2346603300.0,2481653800.0,2228068600.0,2326579700.0,
Bolivia,BOL,4727740000.0,4826516000.0,5095783400.0,5442176000.0,5657500700.0,5935479000.0,6361087500.0,6762931700.0,7339772000.0,7668160500.0,8069284400.0,8477859300.0,9153331000.0,9678655000.0,9963167000.0,10691576000.0,11184945000.0,11740973000.0,11981980000.0,11997957000.0,11833372000.0,11865987000.0,11398617000.0,10937870000.0,10915922000.0,10732929000.0,10456675000.0,10714274000.0,11026006000.0,11443906000.0,11974420000.0,12605057000.0,12812599000.0,13359607000.0,13983135000.0,14637305000.0,15275688000.0,16032477000.0,16838808000.0,16910689000.0,17334778000.0,17626660000.0,18064783000.0,18554580000.0,19328918000.0,20183534000.0,21151740000.0,22117186000.0,23477060000.0,24265185000.0,25266543000.0,26581436000.0,27943010000.0,29842020000.0,31471565000.0,33000198000.0,34407300000.0,35850756000.0,37364957000.0,38193230000.0,34855950000.0,36986126000.0,38319727000.0
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2436038000.0,2942733600.0,5560520700.0,7472760300.0,8638510000.0,9467808000.0,10676418000.0,10935140000.0,11484898000.0,11929036000.0,12683579000.0,13177881000.0,13891331000.0,14704965000.0,15505478000.0,15039622000.0,15169816000.0,15315372000.0,15189505000.0,15546437000.0,15725819000.0,16404349000.0,16936220000.0,17485648000.0,18154912000.0,18679106000.0,18115912000.0,19454978000.0,20253843000.0
Botswana,BWA,203297650.0,216193390.0,230606290.0,244260590.0,260949220.0,276120670.0,293637820.0,311034600.0,343901760.0,395911420.0,463692540.0,583423100.0,737224700.0,894277060.0,972953700.0,1055131840.0,1167475700.0,1307713400.0,1495145300.0,1676784400.0,1877778800.0,2047996800.0,2297146600.0,2599146200.0,2821253000.0,3022275000.0,3269283300.0,3657737200.0,4369166000.0,4939753000.0,5274313700.0,5667709400.0,5833041000.0,5944808000.0,6160481000.0,6593587700.0,6977980400.0,7558959600.0,7592496000.0,8326481000.0,8491986000.0,8513264600.0,9029980000.0,9447697000.0,9703335000.0,10145482000.0,10994037000.0,11630873000.0,12009117000.0,10310520000.0,11354171000.0,12130630000.0,12109899000.0,13454439000.0,14220640000.0,13530749000.0,14505561000.0,15102373000.0,15734874000.0,16211987000.0,14796884000.0,16553327000.0,17511420000.0
Brazil,BRA,188464000000.0,204672000000.0,218180000000.0,219489000000.0,226952000000.0,232399000000.0,247969000000.0,258384000000.0,283706000000.0,310658000000.0,342966000000.0,381869000000.0,427465000000.0,487176000000.0,526900000000.0,554124000000.0,610961000000.0,641108000000.0,672970000000.0,718460000000.0,784558000000.0,751214000000.0,757449000000.0,735256000000.0,774960000000.0,835794000000.0,898395000000.0,930109000000.0,929551000000.0,958924000000.0,917211000000.0,926678000000.0,921637000000.0,967024000000.0,1023620000000.0,1066860000000.0,1090420000000.0,1127440000000.0,1131250000000.0,1136550000000.0,1186420000000.0,1202910000000.0,1239640000000.0,1253780000000.0,1326000000000.0,1368460000000.0,1422680000000.0,1509030000000.0,1585910000000.0,1583910000000.0,1703150000000.0,1770840000000.0,1804860000000.0,1859090000000.0,1868460000000.0,1802210000000.0,1743170000000.0,1766230000000.0,1797740000000.0,1819680000000.0,1760060000000.0,1847860000000.0,1901460000000.0
Brunei,BRN,,,,,,,,,,,,,,,6708374500.0,6732220000.0,8089125400.0,8972191000.0,9580131000.0,11741642000.0,10920114000.0,8755015000.0,9101420000.0,9147060000.0,9201931000.0,9064754000.0,8818603000.0,8995781000.0,9094497000.0,8996806000.0,9094819000.0,9380937000.0,9827336000.0,9857268000.0,10167318000.0,10622682000.0,10928436000.0,10767661000.0,10707523000.0,11034333000.0,11348747000.0,11660162000.0,12111655000.0,12463371000.0,12526226000.0,12574766000.0,13127769000.0,13148063000.0,12893027000.0,12665525000.0,12994698000.0,13481391000.0,13604455000.0,13315220000.0,12981228000.0,12930292000.0,12609889000.0,12777425000.0,12784099000.0,13278730000.0,13429254000.0,13215627000.0,13000433000.0
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,30408546000.0,31898614000.0,32643308000.0,33763074000.0,34909820000.0,35846603000.0,37354885000.0,39616540000.0,43952447000.0,42506465000.0,38630990000.0,35368464000.0,32796334000.0,32310878000.0,32898294000.0,33839850000.0,35601347000.0,30576080000.0,31734645000.0,29070174000.0,30403690000.0,31566236000.0,33419784000.0,35170030000.0,37459747000.0,40103040000.0,42831086000.0,45681230000.0,48481290000.0,46858550000.0,47587370000.0,48582030000.0,48945820000.0,48680165000.0,49142360000.0,50811994000.0,52349886000.0,53787378000.0,55236895000.0,57465807000.0,55186625000.0,59414884000.0,61747770000.0
Burkina Faso,BFA,1166782800.0,1213966600.0,1288368300.0,1272031500.0,1301069700.0,1350049000.0,1357307100.0,1477066500.0,1522423900.0,1553269500.0,1555087100.0,1577065700.0,1613519600.0,1620769700.0,1755073500.0,1807697300.0,1961982300.0,1969248600.0,2059988200.0,2135478900.0,2152496000.0,2244091400.0,2458675700.0,2467182300.0,2423298800.0,2629699800.0,2838902000.0,2832192800.0,2996335000.0,3060764400.0,3042310100.0,3318247200.0,3325969200.0,3441093600.0,3486344200.0,3685636900.0,4091600100.0,4350060000.0,4667950000.0,5013156000.0,5107828000.0,5445629400.0,5682675700.0,6126066000.0,6400419300.0,6954815500.0,7389711400.0,7693530600.0,8139754500.0,8380850000.0,9088721000.0,9690627000.0,10315931000.0,10913490000.0,11385700000.0,11832159000.0,12537117000.0,13314855000.0,14194245000.0,14973005000.0,15260785000.0,16319557000.0,16610125000.0
